id,px,py,pz,cx,cy,cz,lpes,type
5616,3.644270,4.128416,5.344833,3.055553,3.944039,5.680435,0.892378,vertex
5617,4.497640,8.850148,4.457699,4.574127,-0.378129,4.687201,0.808751,edge_minus
5618,1.518013,3.656758,6.391587,1.546562,3.895671,6.171669,0.325973,interior_minus
5619,6.631867,4.034217,7.737912,6.051711,3.544309,7.676852,0.761787,edge_plus
5620,7.164719,3.267878,7.231463,7.486623,2.797052,7.337495,0.580123,edge_minus
5621,2.245503,3.725784,5.316295,3.032232,3.928506,5.674464,0.887876,edge_plus
5622,8.851450,1.795695,2.187974,8.708783,1.553125,2.363497,0.331666,interior_minus
5623,6.216801,3.095607,3.269758,5.898916,3.328970,3.054963,0.490376,vertex
5624,6.079602,9.075663,1.622011,6.380295,8.808502,1.874484,0.776643,vertex
5625,7.878294,9.782819,2.303432,8.224465,0.089636,3.097847,0.919275,edge_minus
5626,7.796794,2.814272,7.842250,8.141092,3.073528,7.946152,0.719038,vertex
5627,1.939820,7.001409,4.123580,2.309409,6.724719,4.242866,0.476847,edge_minus
5628,4.717183,9.280007,5.868604,4.062869,-0.491666,5.242917,0.949940,vertex
5629,9.227460,9.815458,6.581274,-0.970944,9.659915,6.496410,0.266008,interior_minus
5630,1.794613,9.325805,4.780479,2.356410,8.980967,5.104855,0.734676,edge_plus
5631,5.795602,4.105233,5.306564,5.653359,4.206921,5.518358,0.274646,edge_plus
5632,9.582452,4.351226,3.683111,8.973897,4.211477,3.662353,0.634260,vertex
5633,9.794414,9.129176,9.533415,-0.233838,9.137484,9.375483,0.160654,interior_plus
5634,4.658417,1.481503,3.737179,5.105563,0.938739,3.875529,0.716709,edge_minus
5635,5.144491,9.137661,4.553474,4.506976,9.633913,4.740149,0.829180,edge_plus
5636,6.515715,0.479159,4.887394,5.737171,10.376103,4.373812,0.938358,edge_minus
5637,8.997037,2.806486,4.537613,8.596928,3.148989,4.274425,0.677196,vertex
5638,0.092590,2.836709,5.510315,-0.281976,2.742116,5.939486,0.577438,edge_plus
5639,9.357714,7.636072,9.174701,9.548656,7.885619,8.930234,0.398117,interior_minus
5640,2.817887,3.840127,8.210017,2.984703,3.677793,8.227863,0.233448,edge_plus
5641,4.713004,0.062072,5.839891,4.142639,-0.435459,5.517598,0.822633,edge_minus
5642,5.371211,1.571152,3.779977,5.127642,0.889852,3.946623,0.742474,edge_plus
5643,1.828424,5.197121,9.583096,1.964424,5.595760,-0.397945,0.421627,edge_minus
5644,9.341974,3.329846,6.975565,9.728548,2.867951,6.998278,0.860711,vertex
5645,2.987774,8.283842,8.452630,2.796612,8.511886,8.431634,0.298309,edge_plus
5646,9.530638,8.619181,8.225645,9.459570,8.318214,8.338577,0.944329,vertex
5647,9.752316,8.299862,7.658010,9.459570,8.318214,8.338577,0.944329,vertex
5648,0.558496,3.444625,9.070856,0.553285,3.213355,-0.928879,0.231329,interior_minus
5649,8.581828,0.958593,2.550189,8.086749,0.421876,3.094155,0.922465,vertex
5650,3.338794,9.352202,5.980873,3.937639,9.364641,5.312074,0.897809,edge_minus
5651,4.764032,0.571818,5.319321,5.294987,0.552971,4.514099,1.042326,vertex
5652,6.437791,8.056226,1.038682,6.462954,8.669155,0.899342,0.629071,edge_plus
5653,6.616115,6.028826,6.347732,6.958901,5.994754,6.623127,0.702650,vertex
5654,5.252236,2.187823,6.765492,5.201165,2.240507,6.690174,0.105150,interior_minus
5655,2.101396,6.652999,3.635485,1.996277,6.865762,3.920086,0.370562,edge_minus
5656,5.409010,1.162777,4.851354,5.294987,0.552971,4.514099,1.042326,vertex
5657,4.050852,5.132551,3.378928,3.934167,5.423832,3.764001,0.496731,edge_plus
5658,9.977717,8.723121,6.203416,0.427786,8.517085,5.849560,0.614861,vertex
5659,0.235627,4.368023,1.310055,-0.061157,3.993678,1.307481,0.477726,edge_plus
5660,5.997334,8.399463,2.821400,6.213054,8.398748,2.217781,0.641008,edge_plus
5661,4.004705,7.804267,5.413696,4.086852,8.168043,5.531606,0.391131,edge_plus
5662,2.219716,9.467926,5.689157,2.453421,8.949673,5.153658,0.781001,edge_minus
5663,1.137912,0.172922,1.079345,0.992708,0.423296,0.887108,0.347457,edge_plus
5664,8.614279,3.533586,3.378069,8.791450,3.941028,3.772403,0.642939,vertex
5665,0.028166,8.819756,7.919882,9.459570,8.318214,8.338577,0.944329,vertex
5666,3.169460,6.349823,4.305542,3.382438,5.931382,4.277943,0.470334,edge_minus
5667,3.775658,3.335055,8.764684,3.912951,3.320430,-0.923553,0.340968,edge_plus
5668,5.391065,7.749151,7.109729,5.507350,7.712017,6.688013,0.439027,edge_plus
5669,5.088737,0.970017,5.203521,5.294987,0.552971,4.514099,1.042326,vertex
5670,5.619121,0.651693,5.256224,5.294987,0.552971,4.514099,1.042326,vertex
5671,9.864423,8.160037,7.154647,-0.107907,8.288582,7.599658,0.464030,interior_minus
5672,4.964299,9.407253,6.720637,4.712338,9.661548,6.463367,0.440837,edge_plus
5673,9.513926,2.285987,8.318901,-0.778405,2.543912,8.172889,0.416296,interior_minus
5674,2.136561,8.470739,0.852019,2.160232,8.391398,0.657946,0.270228,vertex
5675,9.019999,0.261705,2.250783,8.525721,10.503381,2.457498,0.587749,edge_plus
5676,6.265779,1.278651,2.863938,6.504282,10.443732,2.754612,0.875172,edge_minus
5677,6.825857,0.153421,3.673549,6.774524,10.222985,3.082779,0.979329,vertex
5678,2.252025,7.978624,5.288438,2.697021,8.642051,5.336327,0.800281,edge_minus
5679,3.064498,9.939316,7.879611,4.046924,10.135116,8.207070,1.127815,vertex
5680,9.811637,7.488739,8.955964,9.744967,8.119316,8.480608,0.792487,edge_plus
5681,4.347525,3.979514,6.504367,4.052866,3.610752,6.122688,0.729745,vertex
5682,6.281598,2.436584,1.783972,6.148527,2.259719,2.199928,0.514788,vertex
5683,3.840378,0.182518,5.790927,3.905822,-0.410582,5.045484,0.954849,edge_minus
5684,5.673403,2.168215,1.989814,5.539263,1.780934,2.389360,0.572379,edge_minus
5685,4.454953,8.777789,1.980739,4.354214,9.028965,1.853643,0.298983,edge_minus
5686,7.036020,0.897644,4.281866,6.696036,0.731224,4.141666,0.403660,interior_minus
5687,0.842672,4.680568,1.343671,1.230470,4.802527,1.666851,0.519333,edge_plus
5688,5.436051,9.300676,8.701412,4.694584,-0.183064,8.386936,0.956657,edge_plus
5689,2.415400,5.336956,2.552044,2.027148,5.292492,2.499228,0.394343,interior_minus
5690,4.777696,6.342803,1.301897,5.209321,6.651572,1.238678,0.534449,edge_minus
5691,8.332237,5.815520,0.708408,8.366920,5.823979,0.449429,0.261428,edge_plus
5692,5.409898,6.655751,1.969185,5.235342,6.734030,1.724024,0.310969,edge_plus
5693,1.208714,2.380998,9.432629,1.094043,2.023168,9.375926,0.506482,vertex
5694,5.509007,0.516981,5.044103,5.294987,0.552971,4.514099,1.042326,vertex
5695,3.521818,9.474700,1.533392,4.077454,9.465345,1.635390,0.564998,edge_minus
5696,9.237782,5.303523,5.949277,9.574968,5.382615,5.725334,0.421642,vertex
5697,6.815239,5.575087,8.984118,6.737201,5.639358,8.905386,0.258399,vertex
5698,6.538273,6.356198,7.495248,6.761286,6.369734,7.164249,0.399347,interior_plus
5699,9.101042,9.233607,3.703189,8.639091,-0.182264,3.470666,0.780175,edge_plus
5700,8.904792,8.904933,3.968274,9.019927,9.403587,3.973617,0.511801,edge_plus
5701,9.833129,9.057407,9.603321,-0.182839,9.002144,9.480980,0.135190,interior_plus
5702,0.440252,8.069158,8.921364,-0.195593,8.096744,8.557011,0.733357,edge_minus
5703,2.362992,3.103857,2.069252,2.381196,3.310222,2.080305,0.207461,interior_minus
5704,5.134395,0.091155,3.624139,5.294987,0.552971,4.514099,1.042326,vertex
5705,4.700909,9.152185,4.962117,3.887893,-0.401325,5.022944,0.957691,vertex
5706,5.534840,2.494273,0.093957,5.640593,2.188526,9.724721,0.490917,edge_plus
5707,0.047536,0.386949,9.498680,-0.258171,10.769394,0.031200,0.723394,edge_plus
5708,1.655971,0.255351,9.510353,1.995075,0.182646,9.197711,0.466929,edge_minus
5709,2.344255,4.580181,2.269498,2.144904,4.690739,2.291200,0.228986,edge_plus
5710,5.280727,0.958979,5.091808,5.294987,0.552971,4.514099,1.042326,vertex
5711,9.979352,3.645343,2.636638,-0.506206,3.494431,2.122926,0.722801,edge_plus
5712,2.623110,9.141107,7.638990,2.612624,9.253088,7.828762,0.220597,edge_plus
5713,1.643912,1.958879,4.088981,1.737974,2.094389,4.548474,0.520937,vertex
5714,4.531887,6.955651,6.168468,4.616941,7.011342,5.847045,0.337118,interior_plus
5715,2.264117,9.903353,9.319487,2.968046,10.239963,-0.954528,0.826986,edge_minus
5716,4.895990,1.858874,3.181547,4.772138,2.337271,3.297732,0.679490,vertex
5717,9.281850,1.854165,6.134562,-0.529629,2.328293,6.299599,0.536260,edge_minus
5718,2.341176,3.526517,1.990143,2.351163,3.359246,2.070697,0.236384,vertex
5719,1.592887,7.254501,6.830993,1.470016,7.596965,6.670216,0.813473,vertex
5720,3.459970,4.408627,8.968182,3.471038,4.282556,8.796532,0.213261,edge_plus
5721,9.152917,0.472154,0.067579,-0.208975,10.872580,0.129877,0.770459,vertex
5722,4.869385,1.194007,9.491634,4.947104,1.812054,-0.545794,0.735305,vertex
5723,3.449302,5.112983,6.003349,3.462545,4.630330,5.842949,0.508780,edge_minus
